fecha_hecho;cantidad;latitud;longitud;sexo;edad;estado_civil;medio_transporte;conducta;modalidad;conducta_especial;arma_medio;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;color;fecha_ingestion
10/03/2017 20:00;10;625413646;-7557679698;Hombre;22;Soltero(a);Automóvil;Hurto a persona;Atraco;No;Arma de fuego;San Benito;#1006;10;Vía pública;Candelaria;Accesorios prendas de vestir;Prendas de vestir y accesorios;Mercancía;Oro;6/03/2025 4:07
10/03/2017 0:00;10;626006959;-7556252132;Hombre;36;Soltero(a);Metro;Hurto a persona;Cosquilleo;De celular;No;Prado;#1001;10;Estación del Metro;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 19:50;10;622079867;-7556876061;Hombre;35;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Castropol;#1404;14;Hotel, motel y hostal;Poblado;Cámara;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 6:30;10;624874518;-7557620692;Hombre;54;Casado(a);Caminata;Hurto a persona;Descuido;No;No;Corazón de Jesús;#1008;10;Vehículo particular;Candelaria;Alicate;Herramientas;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 16:00;10;625459834;-755640315;Hombre;35;Soltero(a);Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;Villa Nueva;#1018;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 11:30;10;628711387;-7555685129;Hombre;43;Unión marital de hecho;Caminata;Hurto a persona;Descuido;No;No;Berlin;#0401;4;Hotel, motel y hostal;Aranjuez;Taladro;Herramientas;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 9:50;10;626168954;-755705842;Mujer;21;Soltero(a);Autobus;Hurto a persona;Cosquilleo;Sin dato;No;El Chagualo;#1004;10;Metro Plus;Candelaria;Celular;Tecnología;Mercancía;Blanco;6/03/2025 4:07
10/03/2017 21:30;10;627209577;-7559372155;Hombre;27;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;San Germán;#0703;7;Vía pública;Castilla;Maletín;Otros elementos;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 22:15;10;62563251;-7558079992;Hombre;17;Soltero(a);Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;Carlos E. Restrepo;#1101;11;Vía pública;Laureles;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
10/03/2017 17:00;10;630046542;-7555881296;Mujer;54;Casado(a);Metro;Hurto a persona;Cosquilleo;No;No;Héctor Abad Gómez;#0507;5;Estación del Metro;Castilla;Cédula;Documentos;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 9:00;10;625265103;-7556852666;Mujer;25;Unión marital de hecho;Autobus;Hurto a persona;Raponazo;De celular;No;La Candelaria;#1019;10;Bus de servicio público;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 23:30;10;624919727;-7558883612;Mujer;34;Soltero(a);Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;Bolivariana;#1107;11;Vía pública;Laureles;Accesorios prendas de vestir;Prendas de vestir y accesorios;Mercancía;Oro;6/03/2025 4:07
